model;spearmans;mse;accuracy;sim_wp;sim_lc;sim_jc_sanchez;sim_jc_seco;sim_lin_sanchez;sim_lin_seco
itdl-au;0,521735832;0,29183256;0,746835443;0,390113431;0,390113431;0,216611547;0,160686628;0,165766859;0,166691876
itdl-au;0,512590945;0,290664483;0,734177215;0,394086914;0,394086914;0,218155273;0,161444314;0,16783724;0,165245338
itdl-au;0,495618493;0,294581261;0,746835443;0,397138642;0,397138642;0,220397007;0,163611531;0,16724993;0,167891941
itdl-au;0,540541079;0,282094989;0,772151899;0,38802188;0,38802188;0,217890779;0,160639052;0,16245453;0,164902669
itdl-au;0,558582661;0,276503729;0,746835443;0,392087003;0,392087003;0,215509439;0,159858025;0,163400614;0,165783388
itdl-au;0,564959263;0,27371949;0,746835443;0,393440274;0,393440274;0,21898173;0,16237762;0,163902332;0,166979525
itdl-au;0,57599422;0,272617643;0,721518987;0,387963637;0,387963637;0,217902904;0,158888381;0,161752414;0,163488054
itdl-au;0,58494819;0,266855228;0,759493671;0,387979756;0,387979756;0,218982806;0,161475926;0,167820618;0,166636085
itdl-au;0,605414408;0,258565195;0,670886076;0,388622834;0,388622834;0,213613761;0,154388809;0,1606005;0,159623948
itdl-au;0,623818732;0,250088965;0,759493671;0,385673758;0,385673758;0,214230315;0,152429016;0,157583199;0,157080155
itdl-au;0,651157933;0,238357471;0,772151899;0,387331735;0,387331735;0,211946421;0,15587342;0,15911083;0,159044068
itdl-au;0,460413543;0,317281661;0,696202532;0,385917954;0,385917954;0,210311143;0,155811543;0,163354802;0,163070519
itdl-au;0,475782299;0,313470395;0,721518987;0,386474322;0,386474322;0,212044944;0,155226344;0,160867856;0,161750915
itdl-au;0,470283912;0,306782019;0,721518987;0,381797764;0,381797764;0,210426878;0,149394964;0,155324074;0,155973917
itdl-au;0,474006778;0,305910828;0,734177215;0,386169134;0,386169134;0,213534195;0,155932164;0,164600939;0,163454187
itdl-au;0,496573074;0,301321854;0,734177215;0,388331448;0,388331448;0,212357785;0,149125567;0,158732142;0,155613422
itdl-au;0,488993701;0,302300896;0,734177215;0,381869195;0,381869195;0,2106211;0,150322834;0,157121263;0,156670344
itdl-au;0,503064226;0,299806558;0,696202532;0,382055025;0,382055025;0,209815233;0,148556665;0,157797034;0,156769335
itdl-au;0,512495487;0,294330686;0,708860759;0,388596972;0,388596972;0,212714596;0,152914202;0,154522768;0,157521531
itdl-au;0,508505338;0,291839767;0,708860759;0,384303472;0,384303472;0,208857761;0,147656076;0,154381811;0,153719477
itdl-au;0,519845761;0,280284565;0,746835443;0,381772385;0,381772385;0,212908717;0,149116803;0,156826633;0,155493643
itdl-au;0,569713076;0,266831062;0,746835443;0,387473849;0,387473849;0,213838351;0,153867006;0,160333704;0,160643925
itdl-au;0,431069721;0,31059702;0,683544304;0,38197439;0,38197439;0,213014771;0,159178946;0,164622471;0,166310347
itdl-au;0,418602892;0,312123904;0,658227848;0,376788029;0,376788029;0,213879136;0,159818806;0,166438269;0,166105427
itdl-au;0,425934075;0,307883616;0,670886076;0,37726433;0,37726433;0,211918877;0,154509296;0,16186359;0,161254294
itdl-au;0,422688499;0,305028044;0,670886076;0,381267811;0,381267811;0,213407446;0,157015415;0,160613709;0,163664381
itdl-au;0,443899291;0,299739231;0,683544304;0,376108194;0,376108194;0,211665573;0,152854437;0,159570114;0,160681258
itdl-au;0,452204146;0,296599795;0,683544304;0,378291025;0,378291025;0,214048186;0,155210267;0,159059461;0,161021715
itdl-au;0,471601234;0,293241972;0,670886076;0,373167802;0,373167802;0,211200616;0,153465859;0,158297257;0,161255101
itdl-au;0,521525824;0,282886912;0,683544304;0,375629061;0,375629061;0,211923417;0,154065657;0,158906256;0,159358352
itdl-au;0,492334734;0,283822548;0,696202532;0,37886512;0,37886512;0,207113503;0,153597912;0,160791607;0,159768433
itdl-au;0,545676725;0,275542898;0,721518987;0,378068122;0,378068122;0,21055848;0,150678923;0,157092678;0,157319665
itdl-au;0,560606373;0,270901303;0,683544304;0,381924221;0,381924221;0,212894051;0,154906739;0,162254066;0,161386939
itdl-au;0,408904349;0,327508256;0,670886076;0,374581411;0,374581411;0,208447751;0,150684554;0,159242947;0,156804156
itdl-au;0,416961013;0,323135455;0,670886076;0,378427917;0,378427917;0,205431043;0,14902144;0,150484382;0,152082902
itdl-au;0,406021514;0,323386125;0,683544304;0,375845363;0,375845363;0,206549954;0,149585155;0,153439627;0,153866809
itdl-au;0,403539603;0,32213334;0,670886076;0,375385736;0,375385736;0,207249011;0,147707797;0,15396712;0,154382272
itdl-au;0,432902517;0,311480156;0,658227848;0,37374647;0,37374647;0,206512156;0,148472628;0,152733558;0,154508673
itdl-au;0,423795813;0,313065342;0,64556962;0,371550649;0,371550649;0,205155824;0,147684726;0,153342258;0,154128977
itdl-au;0,437713605;0,311011474;0,658227848;0,378237382;0,378237382;0,208301434;0,151311665;0,158584633;0,155423142
itdl-au;0,435670802;0,30891109;0,683544304;0,370444447;0,370444447;0,205341924;0,148831631;0,154614907;0,153577613
itdl-au;0,469042956;0,298999524;0,658227848;0,377777951;0,377777951;0,206213585;0,152989576;0,161171023;0,160530344
itdl-au;0,483438039;0,290636128;0,658227848;0,385649149;0,385649149;0,209234151;0,152193253;0,156957808;0,156400104
itdl-au;0,533916286;0,271451125;0,683544304;0,384261474;0,384261474;0,209302818;0,153172976;0,161850781;0,159366841
itdl-au;0,450886824;0,32283071;0,696202532;0,381152695;0,381152695;0,214379542;0,151181469;0,154046512;0,159128956
itdl-au;0,456938868;0,318957591;0,708860759;0,38410366;0,38410366;0,215301845;0,15412979;0,16062896;0,162507492
itdl-au;0,458275282;0,318094389;0,683544304;0,382750621;0,382750621;0,212203349;0,150400422;0,158643018;0,160485176
itdl-au;0,451535939;0,314365383;0,696202532;0,37852981;0,37852981;0,213519441;0,146882022;0,155876496;0,156157484
